Sentiment Entity	Freq	Synonym	leave/ remain	Politician
 Finance Minister	64			
 Mexico	64	 Mexico		
 Nikkei	64	 Nikkei		
 officer	64			
 UK Independence Party	64	UKIP		
 Ukraine	64	 Ukraine		
 Washington.	64	Washington		
 Birmingham	63	 Birmingham		
 Justice Secretary Michael Gove	63	Michael Gove		
 AP	62	The Associated Press		
 Reuters.	62	Reuters		
 South Africa	62	 South Africa		
 Apple	61	Apple		
 fraud	61			
 Gisela Stuart	61	Gisela Stuart	leave	True
 House of Commons	61	House of Commons		
 UBS	61	 UBS		
 Sydney	60	 Sydney		
 YouGov	60	 YouGov		
 Cabinet	59			
 Chancellor George Osborne	59	George Osborne		
 George Soros	59	George Soros		
 Margaret Thatcher	59	Margaret Thatcher		
 New York.	59	New York		
 OANDA.	59	OANDA		
 Roberto Azevedo	59	Roberto Azevedo		False
 Rupert Murdoch	59	Rupert Murdoch		False
 Tom Watson	59	Tom Watson	remain	True
 BoJ	58	Bank of Japan		
 European Parliament	58	European Parliament		
 PARIS	58	Paris		
 United Kingdom.	58	Great Britain		
 Jamie Dimon	57	Jamie Dimon		False
 RBA	57	RBA		
 Singapore	57	Singapore		
 TNS	57	TNS		
 WTO	57	WTO		
 OANDA	56	OANDA		
 reporter	56			
 Google	55	Google		
 Hilary Benn	55	Hilary Benn	remain	True
 Reserve Bank	55			
 Australia.	54	Australia		
 Bank of America Merrill Lynch	54	Bank of America		
 Chairman	54			
 Dublin	54	 Dublin		
 executive	54			
 Rio Tinto	54	 Rio Tinto		False
 California	53	California		
 Conservative party	53	Conservative Party		
 Leicester	53	Leicester		
 Mike Dolan	53	Mike Dolan		False
 OTTAWA	53	Ottawa		False
 producer	53			
 John McDonnell	52	John McDonnell	remain	True
 Netherlands	52	 Netherlands		
 Osborne	52	George Osborne		
 Andrew Marr	51	Andrew Marr		False
 Bob Geldof	51	Bob Geldof		False
 Congress	51			
 Faisal Islam	51	 Faisal Islam		False
 Great Britain	51	Great Britain		
 Raghuram Rajan	51	 Raghuram Rajan		False
 White House	51	White House		
 William Hill	51	 William Hill		
 Islamic State	50	ISIS		
 Nick Clegg	50	 Nick Clegg	remain	True
 Alex Salmond	49	 Alex Salmond	remain	True
 CMC Markets.	49	CMC Markets		
 Farage	49	Nigel Farage		
 CBI	48			
 China.	48	China		
 Morgan Stanley	48	JPMorgan		
 Sunday Telegraph	48	Sunday Telegraph		
 Aberdeen	47	Aberdeen		
 Boris	47			
 Certified Financial Technician	47			
 International Federation of Technical Analysts	47			
 Nations For Refugees	47			
 Yorkshire	47	 Yorkshire		
 Craig	46			
 GOP	46	Republicans		
 Saudi Arabia	46	 Saudi Arabia		
 SNP	46	SNP		
 Westminster	46	Westminster		
 Ankara	45	Ankara		
 Brian Bethune	45	Brian Bethune		False
 BRUSSELS	45	Brussels		
 Ireland.	45	Ireland		
 Libya	45	 Libya		
 Liverpool	45	 Liverpool		
 Mr Johnson	45	Boris Johnson		
 National Health Service	45	NHS		
 Sadiq Khan	45	Sadiq Khan		
 Scotland.	45	Scotland		
 World Trade Organization	45	WTO		
 Bank of Canada	44	Bank of Canada		
 Belfast	44	 Belfast		
 German Bund	44	Germany		
 Israel	44	 Israel		
 Obama	44	Barack Obama		
 Philadelphia.	44	Philadelphia		
 representative	44			
 Shanghai Composite	44	 Shanghai Composite		
 The Shanghai Composite	44	 Shanghai Composite		
 Vienna	44	 Vienna		
 Citigroup	43	Citigroup		
 editor	43			
 NHS.	43	NHS		
 Prime Minister Shinzo Abe	43	Shinzo Abe		
 rape	43			
 River Thames	43	Thames		
 Senate	43			
 Society of Technical Analysts	43			
 American Petroleum Institute	42	American Petrolium Institute		
 Britain.\\	42	Great Britain		
 Europe.\\	42	Europe		
 Financial Times	42	 Financial Times		
 Governor Mark Carney	42	Mark Carney		
 Hitachi	42	 Hitachi		
 Official	42			
 The West Australian	42	 The West Australian		
 US.	42	USA		
 Belgium	41	Belgium		
 Cabinet Office	41			
 Catholic Charities	41			
 Europol	41	Europol		
 Glencore	41	Glencore		
 Johnson	41			
 President Obama	41	Barack Obama		
 senior market analyst	41			
 FTSE	40	FTSE		
 head of research	40			
 House of Lords	40	British Palament		
 Labour party	40	Labour Party	remain	True
 Malaysia	40	 Malaysia		
 National Farmers Union	40	National Farmers Union		
 chief investment officer	39			
 Christine Lagarde	39	 Christine Lagarde		
 European Court of Justice	39	 European Court		
 European Policy Centre	39	 European Policy Centre		
 Iceland	39	Iceland		
 Mediterranean	39	 Mediterranean		
 Republic of Ireland	39	Ireland		
 The Associated Press	39	 The Associated Press		
 Berkeley	38	Berkeley		
 Centre for European Policy Studies	38	 Centre for European Policy Studies		
 Commerzbank	38	 Commerzbank		
 Fort McMurray	38	Fort McMurray		False
 Green Party	38	Green Party		
 Hollywood Reporter	38			
 Matt Hancock	38	 Matt Hancock	remain	True
 Michael Emerson	38	 Michael Emerson		False
 Stoxx Europe	38	Stoxx Europe		
 Treasuries	38			
 West Country	38			
 World Bank	38	World Bank		
 BOE	37	Bank of England		
 BT	37	BT Group		
 Common Fisheries Policy	37	 Common Fisheries Policy		
 Director	37			
 G4S	37	G4S		
 Labor Department	37			
 The Guardian	37	 The Guardian		
 TUC	37			
 United States.	37	USA		
 Chris Grayling	36	Chris Grayling	leave	True
 Circencester	36	 Circencester		
 deputy chairman	36			
 Doreen Lawrence	36	 Doreen Lawrence	remain	True
 European Court	36	European Court		
 executive director	36			
 Gulf	36	Gulf		
 Janet Yellen.	36	Janet Yellen		
 Remain camp	36	 Remain camp		
 Scottish Parliament	36	Scottish Government		
 senior strategist	36			
 Tata Steel	36	Tata Steel		False
 Turnberry	36	Turnberry		
 UN	36	United Nations		
 BHP Billiton	35	BHP Billiton		
 Director-general	35			
 Gibraltar	35	 Gibraltar		
 JPMorgan Chase	35	JPMorgan		
 Michael Wolff	35	 Michael Wolff		False
 Remainers	35	 Remain camp		
 Taylor Wimpey	35	 Taylor Wimpey		False
 Tories	35	Conservative Party		
 Verizon	35	 Verizon		
 WTI	35	West Texas Intermediate		
 Craig Erlam	34	 Craig Erlam		False
 Cyprus	34	 Cyprus		
 Eddie Izzard	34	 Eddie Izzard		False
 fund manager	34			
 Hungary	34	 Hungary		
 The Bank of England	34	Bank of England		
 Alan Johnson	33	 Alan Johnson	remain	True
 Analyst	33			
 BHS	33	British Home Stores		
 Church of England	33	Church of England		
 Nato	33	NATO		
 Office for National Statistics	33			
 political editor	33			
 President Donald Tusk	33	Donald Tusk		
 Romania	33	 Romania		
 Royal Dutch Shell	33	 Royal Dutch Shell		
 senior economist	33			
 Seoul	33	 Seoul		
 Shami Chakrabarti	33	 Shami Chakrabarti		False
 Toyota	33	 Toyota		
 AFP	32	 AFP		
 Austria	32	 Austria		
 Bill Morneau	32	 Bill Morneau		
 Bill Morokoff	32	 Bill Morokoff		
 Brexiters	32	Brexiteers		
 J.P. Morgan	32	JPMorgan		
 Moody	32	Moodys		
 North Sea	32	 North Sea		
