Var1	Freq	Synonym	Remain/leave	Politician
 Italy	197	 Italy		
 20 years	195			
 @CaptHaddock83	193			
 @jpublik	193			
 @RT_com	193	RT		
 Russia	191	 Russia		
 @Conservatives	189	Conservative Party		
50%	189			
 @tom_watson	188	Tom Watson		True
 president	187			
 SNP	186	Scottish National Party		
 Remainers	185	 Remainers		
 @NickPringle6	184			
 @DavidBrexit	182	David Jones		
 @TristramHuntMP	182	Tristram Hunt		
 40 years	181			
 Steve Hilton	181	 Steve Hilton		
 @intlspectator	180			
 Siemen	180			
 Alan Johnson	178	 Alan Johnson		
 2 years	176			
 Brexit Skinner	175			
 IMF	175	IMF		
 Prime minister	175	David Cameron		
60%	174			
 Murdoch	174			
 @Daily_Express	172	Daily Express		
 @GiselaStuart	172	Gisela Stuart		
25%	172			
 Mr Gove	171	Michael Gove		
 @MikkiL	170		leave	
 @sarahkendzior	170	Sarah Kendzior		
 @Jo_Cox1	169	Jo Cox		
42%	168			
 @Arron_banks	167	Arron Banks		
 Lord Farage	167	Nigel Farage		
 Stefan Molyneux	167	 Stefan Molyneux		
 @simplysimontfa	166	Simon Richards		
 @AdamBaldwin	165	Adam Baldwin		
 @edgarwright	164			
 @LBC	164			
 Mr Cameron	164	David Cameron		
 @CyberUKIPper	161		leave	
 @Sargon_of_Akkad	161			
 Osbourne	161	George Osborne		
 United States	161	United States		
 GE	160			
10%	159			
 Green Party	159	 Green Party		
 @borisjohnson	158	Boris Johnson		
 India	158	 India		
 EEA	157	European Economic Area		
 Leave.EU	157	 LEAVE.EU	leave	
 Tory Brexit.	157	Conservative Party		
 @andrealeadsom	156	Andrea Leadsom		
 co-chairman	156			
 @LabourPress	155	Labour Party		
 @Arron_Banks	154	Arron Banks		
45%	154			
 @DKMatai	153		leave	
 @SJ_Powell	152		leave	
40%	152			
 Australia	152	 Australia		
63%	151			
 EU Commission Bans Staff	151			
 @liamyoung	150	Liam Young		
 Canada	150	 Canada		
 U.S.	150	United States		
 @DouglasCarswell	149	Douglas Carswell		True
 Theresa	146	Theresa May		
 Bremain	145	 Remainers	remain	
 Iain Duncan Smith	145	 Iain Duncan Smith		True
 Clegg	144	Nick Clegg	remain	
 @calamospondylus	143	Lee Farris		
 Putin	143	Vladimir Putin		
 @PeteWishart	141	Pete Wishart		
 @ProfBrianCox	141	Brian Cox		
 9 year	141			
 Brexiteers	141	 Brexiters		
 fraud	141			
 @johnprescott	140	John Prescott		
70%	140			
 John McDonnell	140	 John McDonnell		True
 @labourpress	138	Labour Party		
 Grayling	137	 Grayling		
 Brexit camp	136	 Brexit Camp		
 VoteLeave	135	Leave Campaign		
 european union	133	European Union		
 @Fight4UK	132		leave	
 @joannaccherry	132	Joanna Cherry		True
 UK Independence Party	132	UKIP		
 @europafreunde	131			
 Conservative party	131	Conservative Party		
 Hannan	131	Daniel Hannan		True
 Priti Patel	131	 Priti Patel		True
 European Union.	129	European Union		
 10 years	128			
 @realDonaldTrump	127	Donald Trump		
 @RoundLike	126			
 5 years	126			
 @DavidCameron_MP	125	Dave Cameron		
 Poland	125	 Poland		
 Daniel Hannan	124	 Daniel Hannan		
 @business	123	Bloomberg		
 @MailOnline	123	Daily Mail		
 Heath	123			
 @DFFLDR	122			
 Leeds	122	 Leeds		
 NHS.	122	NHS		
 two weeks	122			
 @itvnews	121	ITV		
 Tory Party	121	Conservative Party		
 Frank Field	120	 Frank Field		True
 Sturgeon	120	Nicola Sturgeon		
 @End_of_Europe	119	Stephanie Cisnero		
 @TomLondon6	118	Tom London		
 35 years	118			
 Andrea Leadsom	118	 Andrea Leadsom		True
 Tory party	118	Conservative Party		
 @LogicalCampaign	116			
 @TheSun	116	The Sun		
90%	116			
 @iVoteLeave	115		leave	
 @DVATW	114	David Vance		
 @MirrorPolitics	114	Daily Mirror		
 Angela Merkel	114	 Angela Merkel		
 Jeremy	114			
 @fishingforleave	113	Fishing Industry	leave	
 @MikeHookemMEP	113	Mike Hookem	leave	True
 europe	112	Europe		
 @EuropeElects	111		remain	
 @KrisAnneHall	111			
 Rupert Murdoch	111	 Rupert Murdoch		
 @britian	109			
 Austria	109	 Austria		
 britain	109	Great Britain		
 British government	109	 British government		
 Cameron Brexit	109	David Cameron		
 john major	108	John Major		
 Netherlands	108	 Netherlands		
 @Geezajay2013	107		leave	
 @yorkshireukip	107		leave	
 Brown	107	Gordon Brown		
 Jesus	107			
 Mervyn King	107	 Mervyn King		
 tom watson	107	 Tom Watson		
 @Jane_CollinsMEP	106	Jane Collins		True
 Hilary Benn	106	 Hilary Benn		True
 Ukip	106	UKIP		
 @sarahwollaston	105	Sarah Wollaston		True
 @ukip	105	UKIP		
 @voteleave	105	Leave Campaign		
 Gibraltar	105	 Gibraltar		
 @landloulou	104			
 @MichaelGoveMP	104	Michael Gove		
 @WillBlackWriter	104	Will Black		
 CAMERON	104	David Cameron		
 nhs	104	NHS		
 @b_judah	103	Ben Judah		
 @bluehand007	103		leave	
 @PeatWorrier	103			
 @ThomasPride	103	Tom Pride		
 @timothy_stanley	103	Tim Stanley		
 Bristol	103	 Bristol		
 Thatcher	103	Margaret Thatcher		
 @LabourRemain	102	 Remainers		
 10 days	102			
 Stuart Rose	102	 Stuart Rose		
 @faisalislam	101	Faisal Islam		
 @KateHoeyMP	101	Kate Hoey		True
 Sky News	101	Sky News		
 Sweden	101	 Sweden		
 @Number10gov	100	 British government		
 @stardust193	99			
 @StevenErlanger	99	Steven Erlanger		
 Johnson & Gove	99			
 Liz Kendall	99	 Liz Kendall		True
 NATO	99	NATO		
 TTIP	99	TTIP		
 @costofcameron	98		leave	
 Brexit https://t.co/jVQrs5AVUz	98			
 Liam Fox	98	 Liam Fox		True
 @rickgladstone	97	Rick Gladstone		
 Dyson	97	 James Dyson		
 @BreitbartLondon	96	Breitbart		
 @RichardKing633	96		leave	
5%	96			
 Gisela Stuart	96	 Gisela Stuart		True
 Mr Farage	96	Nigel Farage		
 @Michael_Gove	95	Michael Gove		
 @patel4witham	95	Priti Patel		True
80%	95			
 Hitler	95	Adolf Hitler		
 ukip	95	UKIP		
 43 years	94			
44%	94			
 gove	94	Michael Gove		
 representative	94			
 @Telegraph	93	The Telegraph		
